"","ensembl_gene_id","external_gene_name","transcript_biotype"
"354","ENSG00000278427","KIR3DL1","protein_coding"
"355","ENSG00000273936","TNFRSF14","protein_coding"
"356","ENSG00000275430","MUC20","protein_coding"
"357","ENSG00000274112","SMDT1","protein_coding"
"358","ENSG00000276230","RNH1","protein_coding"
"359","ENSG00000272835","SMDT1","protein_coding"
"360","ENSG00000273651","GOLGA8G","protein_coding"
"361","ENSG00000275211","CYP2D6","protein_coding"
"362","ENSG00000273397","NDUFA6","protein_coding"
"363","ENSG00000276613","MUC4","protein_coding"
"364","ENSG00000272000","","protein_coding"
"365","ENSG00000275428","","protein_coding"
"366","ENSG00000281742","MCCC2","protein_coding"
"367","ENSG00000272765","NDUFA6","protein_coding"
"368","ENSG00000262024","TCF20","protein_coding"
"369","ENSG00000276371","SINHCAF","protein_coding"
"370","ENSG00000276461","TCF20","protein_coding"
"371","ENSG00000272901","SMDT1","protein_coding"
"372","ENSG00000281151","KCNQ2","protein_coding"
"373","ENSG00000275253","KIR2DS2","protein_coding"
"374","ENSG00000277278","HERC2","protein_coding"
"375","ENSG00000275626","KIR3DL2","protein_coding"
"376","ENSG00000274803","BDP1","protein_coding"
"377","ENSG00000274700","","protein_coding"
"378","ENSG00000278606","KIR2DL4","protein_coding"
"379","ENSG00000273822","MUC4","protein_coding"
"380","ENSG00000275571","TTC34","protein_coding"
"381","ENSG00000277131","MMEL1","protein_coding"
"382","ENSG00000276825","DRD4","protein_coding"
"383","ENSG00000276084","KIR3DL3","protein_coding"
"384","ENSG00000223898","OR11A1","protein_coding"
"385","ENSG00000282712","DEAF1","protein_coding"
"386","ENSG00000226832","OR2B3","protein_coding"
"387","ENSG00000233095","HLA-G","protein_coding"
"388","ENSG00000278501","TIMM22","protein_coding"
"389","ENSG00000278271","KIR2DL4","protein_coding"
"390","ENSG00000281300","NXN","protein_coding"
"391","ENSG00000276561","IRF7","protein_coding"
"392","ENSG00000278114","MUC20","protein_coding"
"393","ENSG00000277833","KIR2DL1","protein_coding"
"394","ENSG00000278659","OR2T6","protein_coding"
"395","ENSG00000275754","OR2T2","protein_coding"
"396","ENSG00000233636","OR2J3","protein_coding"
"397","ENSG00000275617","OR2T4","protein_coding"
"398","ENSG00000243441","OR5V1","protein_coding"
"399","ENSG00000281489","OR2T7","protein_coding"
"400","ENSG00000273508","OR2T1","protein_coding"
"401","ENSG00000277113","OR2T3","protein_coding"
